ID,Symbol,log2FoldChange,padj
18054798,LOC18054798,1.75017836021296,8.15179565657878e-07
18054927,LOC18054927,1.46632785258067,0.00635183631841098
18054929,LOC18054929,1.51188992158983,1.99450115779402e-09
18054784,LOC18054784,-2.65871712210355,1.15328968558007e-06
18054788,LOC18054788,1.12654181910051,1.22916549275771e-11
18054789,LOC18054789,1.73992144557052,3.74187841866075e-14
18054790,LOC18054790,2.61820397481025,1.66647342574359e-15
18054933,LOC18054933,1.25252365988021,3.42229078525564e-11
18054941,LOC18054941,2.08624544470455,8.00898259833192e-10
18054946,LOC18054946,-2.68782193291279,1.56987697511388e-07
18054945,LOC18054945,-1.54007153484277,8.64677948787088e-20
18054040,LOC18054040,-1.084615482311,1.88013481912636e-11
18054042,LOC18054042,-7.63454067304903,0.000223964327354254
18054043,LOC18054043,-5.51285792225441,2.9221145849956e-05
18054051,LOC18054051,-5.83992376711082,0.0356649728189432
18054053,LOC18054053,-8.34932013974376,5.87782317707685e-07
18054041,LOC18054041,2.34050283454486,2.67684780895526e-16
18054046,LOC18054046,1.65227166989544,1.13579931352463e-09
18055287,LOC18055287,-1.52569254962371,3.09646773725097e-11
18055298,LOC18055298,2.70813181821268,2.34188761069319e-11
18055071,LOC18055071,1.62931483852753,0.000225162806854978
18055075,LOC18055075,3.82152147331247,6.61801178599791e-11
18055076,LOC18055076,1.58709626074419,8.31821330031301e-13
18055079,LOC18055079,-2.19688514422261,1.88010888645985e-31
18054531,LOC18054531,2.64543595456641,0.00205484740333975
18054900,LOC18054900,1.26370559967118,1.39893825229965e-18
18054901,LOC18054901,-1.94256248885903,1.25648309792932e-49
18055324,LOC18055324,-1.03351260229083,5.08207258534269e-13
18055322,LOC18055322,2.56444021846366,9.48162378138599e-21
18055339,LOC18055339,2.860604812104,0.00174043861760793
18055342,LOC18055342,-4.79787556253528,8.14944622700285e-94
18055341,LOC18055341,-1.67932309413234,1.16358321229583e-23
18055337,LOC18055337,1.57478538593076,0.0307384717435287
18055009,LOC18055009,1.21533676922897,0.000809940310133654
18055045,LOC18055045,1.74314406983088,0.000117838751184471
18055046,LOC18055046,-2.3364728630816,4.95292523933119e-36
