"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005618","CC","GO:0005618","cell wall","51/1590","168/7428",0.00378211876198985,0.0322475389180187,0.0268205651819779,"LOC18054152/LOC18051551/LOC18053095/LOC18052027/LOC18052688/LOC18050660/LOC18051434/LOC18051421/LOC18051426/LOC18051427/LOC18051428/LOC18051432/LOC18051744/LOC18051747/LOC18048128/LOC18049993/LOC18049414/LOC18049812/LOC18044847/LOC18044063/LOC18043997/LOC18045001/LOC18045202/LOC18042376/LOC18042393/LOC18042395/LOC18041552/LOC18041971/LOC18041518/LOC18040742/LOC18040741/LOC18041628/LOC18042520/LOC18038946/LOC18038374/LOC18038276/LOC18036559/LOC18036699/LOC18036303/LOC18036209/LOC18035691/LOC18033865/LOC18031830/LOC18032887/LOC18031976/LOC18032464/LOC18050139/LOC18050141/LOC18050142/LOC18046359/LOC18034935",51
"GO:0030312","CC","GO:0030312","external encapsulating structure","51/1590","168/7428",0.00378211876198985,0.0322475389180187,0.0268205651819779,"LOC18054152/LOC18051551/LOC18053095/LOC18052027/LOC18052688/LOC18050660/LOC18051434/LOC18051421/LOC18051426/LOC18051427/LOC18051428/LOC18051432/LOC18051744/LOC18051747/LOC18048128/LOC18049993/LOC18049414/LOC18049812/LOC18044847/LOC18044063/LOC18043997/LOC18045001/LOC18045202/LOC18042376/LOC18042393/LOC18042395/LOC18041552/LOC18041971/LOC18041518/LOC18040742/LOC18040741/LOC18041628/LOC18042520/LOC18038946/LOC18038374/LOC18038276/LOC18036559/LOC18036699/LOC18036303/LOC18036209/LOC18035691/LOC18033865/LOC18031830/LOC18032887/LOC18031976/LOC18032464/LOC18050139/LOC18050141/LOC18050142/LOC18046359/LOC18034935",51
"GO:0015630","CC","GO:0015630","microtubule cytoskeleton","31/1590","94/7428",0.00591334949235011,0.0478981308880359,0.0398373018432007,"LOC18054237/LOC18055402/LOC18055733/LOC18053658/LOC18055414/LOC18054356/LOC18054646/LOC18055925/LOC18052839/LOC18051759/LOC18051772/LOC18048307/LOC18048223/LOC18047083/LOC18044071/LOC18043855/LOC18041058/LOC18039021/LOC18038374/LOC18038373/LOC18038217/LOC18038180/LOC18039137/LOC18035782/LOC18037885/LOC18037153/LOC18036848/LOC18035551/LOC18034779/LOC18035052/LOC18033085",31
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","119/2033","303/9150",7.54414399039587e-12,2.98748102019677e-09,2.92236314575335e-09,"LOC18054232/LOC18054865/LOC18054424/LOC18056142/LOC18054549/LOC18055368/LOC18054620/LOC18050435/LOC18052497/LOC18052498/LOC18052500/LOC18052501/LOC18052503/LOC18053375/LOC18053379/LOC18052870/LOC18051225/LOC18052609/LOC18052032/LOC18051625/LOC18053261/LOC18053263/LOC18050706/LOC18050359/LOC18050358/LOC18050357/LOC18050356/LOC18049214/LOC18048646/LOC18047714/LOC18048256/LOC18045934/LOC18045785/LOC18046846/LOC18048151/LOC18048154/LOC18048155/LOC18049870/LOC18046264/LOC18046042/LOC18046843/LOC18049178/LOC18049179/LOC18046916/LOC18044075/LOC18045385/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044863/LOC18044393/LOC18044644/LOC18044579/LOC18044337/LOC18043666/LOC18043590/LOC18045694/LOC18041681/LOC18041475/LOC18040911/LOC18042868/LOC18041531/LOC18042779/LOC18043036/LOC18042343/LOC18042367/LOC18041814/LOC18042520/LOC18041202/LOC18040761/LOC18038877/LOC18039876/LOC18039463/LOC18039758/LOC18035923/LOC18037868/LOC18037541/LOC18035820/LOC18036678/LOC18036699/LOC18036045/LOC18037429/LOC18036416/LOC18036417/LOC18036422/LOC18035701/LOC18036008/LOC18037053/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036901/LOC18037047/LOC18033849/LOC18034294/LOC18034124/LOC18033714/LOC18034033/LOC18035202/LOC18035229/LOC18035278/LOC18035158/LOC18033718/LOC18034822/LOC18035645/LOC18032820/LOC18033470/LOC18033227/LOC18031740/LOC18052121/LOC18047712/LOC18047387/LOC18037886/LOC18036882/LOC18034519/LOC18032359/LOC18033040",119
"GO:0016168","MF","GO:0016168","chlorophyll binding","14/2033","15/9150",8.21552863777255e-09,1.39682309798773e-06,1.36637666150847e-06,"LOC18054549/LOC18055368/LOC18052032/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18035158",14
"GO:0005506","MF","GO:0005506","iron ion binding","101/2033","272/9150",1.05819931665737e-08,1.39682309798773e-06,1.36637666150847e-06,"LOC18054865/LOC18054424/LOC18056142/LOC18054693/LOC18055991/LOC18054620/LOC18055362/LOC18050435/LOC18053375/LOC18053379/LOC18052870/LOC18051225/LOC18052609/LOC18051625/LOC18051753/LOC18052481/LOC18053519/LOC18050706/LOC18050359/LOC18050358/LOC18050357/LOC18050356/LOC18049214/LOC18048646/LOC18047714/LOC18048256/LOC18045934/LOC18048151/LOC18048154/LOC18049870/LOC18046264/LOC18046042/LOC18046843/LOC18049178/LOC18049179/LOC18049733/LOC18046916/LOC18044751/LOC18045385/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044393/LOC18044644/LOC18044579/LOC18044337/LOC18043666/LOC18045694/LOC18041681/LOC18040911/LOC18042868/LOC18041531/LOC18042779/LOC18043036/LOC18042343/LOC18042367/LOC18042726/LOC18040761/LOC18040049/LOC18039876/LOC18039463/LOC18038634/LOC18039758/LOC18035923/LOC18037868/LOC18035820/LOC18036416/LOC18036417/LOC18036422/LOC18035822/LOC18036008/LOC18037053/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036901/LOC18037047/LOC18035505/LOC18034294/LOC18034033/LOC18035202/LOC18035229/LOC18035278/LOC18034272/LOC18033718/LOC18034663/LOC18035645/LOC18034677/LOC18032820/LOC18033470/LOC18033227/LOC18052121/LOC18047712/LOC18047387/LOC18049734/LOC18037886/LOC18036882/LOC18034519/LOC18033040",101
"GO:0020037","MF","GO:0020037","heme binding","105/2033","288/9150",1.67763487966954e-08,1.66085853087285e-06,1.62465693610103e-06,"LOC18054232/LOC18054865/LOC18054424/LOC18056142/LOC18054620/LOC18050435/LOC18052497/LOC18052498/LOC18052500/LOC18052501/LOC18052503/LOC18053375/LOC18053379/LOC18052870/LOC18051225/LOC18052609/LOC18051625/LOC18050706/LOC18050359/LOC18050358/LOC18050357/LOC18050356/LOC18049214/LOC18048646/LOC18047714/LOC18048256/LOC18045934/LOC18046846/LOC18048151/LOC18048154/LOC18049870/LOC18046264/LOC18046042/LOC18046843/LOC18049178/LOC18049179/LOC18046916/LOC18045385/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044393/LOC18044644/LOC18044579/LOC18044337/LOC18043666/LOC18045694/LOC18041681/LOC18040911/LOC18042868/LOC18041531/LOC18042779/LOC18043036/LOC18042343/LOC18042367/LOC18041814/LOC18042520/LOC18040761/LOC18039876/LOC18039463/LOC18039758/LOC18035923/LOC18037868/LOC18037541/LOC18035820/LOC18036678/LOC18036699/LOC18036045/LOC18037429/LOC18036416/LOC18036417/LOC18036422/LOC18035701/LOC18036008/LOC18037053/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036901/LOC18037047/LOC18033849/LOC18034294/LOC18034124/LOC18033714/LOC18034033/LOC18035202/LOC18035229/LOC18035278/LOC18033718/LOC18034822/LOC18035645/LOC18032820/LOC18033470/LOC18033227/LOC18031740/LOC18052121/LOC18047712/LOC18047387/LOC18037886/LOC18036882/LOC18034519/LOC18032359/LOC18033040",105
"GO:0003700","MF","GO:0003700","DNA-binding transcription factor activity","119/2033","355/9150",4.05578186668275e-07,3.21217923841274e-05,3.14216363566158e-05,"LOC18053973/LOC18054113/LOC18053740/LOC18055009/LOC18055041/LOC18053998/LOC18054003/LOC18054021/LOC18054083/LOC18054453/LOC18055376/LOC18055307/LOC18055633/LOC18054255/LOC18051113/LOC18050561/LOC18051512/LOC18053485/LOC18051011/LOC18052434/LOC18052115/LOC18051681/LOC18052470/LOC18053449/LOC18051602/LOC18053406/LOC18053220/LOC18050472/LOC18050266/LOC18048125/LOC18049853/LOC18046431/LOC18048118/LOC18046095/LOC18049966/LOC18049967/LOC18048877/LOC18048665/LOC18046213/LOC18048974/LOC18046781/LOC18047855/LOC18049372/LOC18047704/LOC18047086/LOC18047090/LOC18048239/LOC18048655/LOC18049843/LOC18047940/LOC18047942/LOC18043604/LOC18044460/LOC18044306/LOC18044550/LOC18044589/LOC18043209/LOC18044248/LOC18043901/LOC18043733/LOC18043974/LOC18040837/LOC18040589/LOC18042841/LOC18042171/LOC18042910/LOC18041505/LOC18041721/LOC18041603/LOC18041159/LOC18041974/LOC18040416/LOC18041742/LOC18038738/LOC18037972/LOC18038027/LOC18038707/LOC18038605/LOC18039156/LOC18040087/LOC18038919/LOC18039001/LOC18036727/LOC18036868/LOC18035710/LOC18036531/LOC18036104/LOC18035979/LOC18037266/LOC18036823/LOC18035784/LOC18037715/LOC18033660/LOC18035253/LOC18034191/LOC18035480/LOC18032092/LOC18031465/LOC18033064/LOC18031191/LOC18032958/LOC18033550/LOC18032042/LOC18031384/LOC18031355/LOC18031356/LOC18031603/LOC18033365/LOC18033417/LOC18033409/LOC18031489/LOC18033201/LOC18055444/LOC18046597/LOC18047895/LOC18036271/LOC18035271/LOC18033206/LOC18031430",119
"GO:0004497","MF","GO:0004497","monooxygenase activity","85/2033","236/9150",7.10265524115271e-07,4.68775245916079e-05,4.58557391007754e-05,"LOC18054532/LOC18054865/LOC18054424/LOC18056142/LOC18054620/LOC18050435/LOC18051449/LOC18051450/LOC18053375/LOC18053379/LOC18052870/LOC18051225/LOC18051625/LOC18050706/LOC18050359/LOC18050358/LOC18050357/LOC18049214/LOC18048646/LOC18047714/LOC18048256/LOC18045934/LOC18048151/LOC18048154/LOC18049870/LOC18046264/LOC18046843/LOC18049178/LOC18049179/LOC18046916/LOC18045385/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044393/LOC18044579/LOC18044337/LOC18043666/LOC18045694/LOC18041681/LOC18040911/LOC18042868/LOC18041531/LOC18042779/LOC18043036/LOC18042343/LOC18042367/LOC18042726/LOC18040761/LOC18039876/LOC18039463/LOC18039962/LOC18038615/LOC18039758/LOC18035923/LOC18037868/LOC18036737/LOC18035820/LOC18036416/LOC18036417/LOC18036422/LOC18036008/LOC18037053/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036901/LOC18037047/LOC18034294/LOC18034033/LOC18035202/LOC18035229/LOC18035278/LOC18035645/LOC18032820/LOC18033470/LOC18052121/LOC18047712/LOC18047387/LOC18037886/LOC18036882/LOC18034519/LOC18033040",85
"GO:0016705","MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","95/2033","273/9150",9.62064826159048e-07,5.44253815941404e-05,5.3239076094215e-05,"LOC18054532/LOC18054865/LOC18054424/LOC18056072/LOC18056142/LOC18054620/LOC18050435/LOC18053375/LOC18053379/LOC18052870/LOC18051225/LOC18052609/LOC18051625/LOC18053548/LOC18053519/LOC18050706/LOC18050359/LOC18050358/LOC18050357/LOC18050356/LOC18049214/LOC18048646/LOC18047714/LOC18048256/LOC18045934/LOC18048151/LOC18048154/LOC18049870/LOC18046264/LOC18046042/LOC18046843/LOC18049178/LOC18049179/LOC18046916/LOC18045385/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044393/LOC18044644/LOC18044694/LOC18044579/LOC18044337/LOC18043666/LOC18045694/LOC18041681/LOC18040911/LOC18042868/LOC18041531/LOC18042779/LOC18043036/LOC18042892/LOC18042343/LOC18042367/LOC18040761/LOC18039876/LOC18038227/LOC18039463/LOC18039962/LOC18039758/LOC18035923/LOC18037868/LOC18036737/LOC18035820/LOC18036416/LOC18036417/LOC18036422/LOC18037073/LOC18036008/LOC18037053/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036901/LOC18037047/LOC18035505/LOC18034294/LOC18034033/LOC18035202/LOC18035229/LOC18035278/LOC18033718/LOC18035645/LOC18032820/LOC18033470/LOC18033227/LOC18052121/LOC18047712/LOC18047387/LOC18037886/LOC18036882/LOC18034519/LOC18033040",95
