"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","30/2492","41/5590",0.000186834546375473,0.00844745966317672,0.00776591503189712,"LOC18055481/LOC18054004/LOC18054604/LOC18055591/LOC18050981/LOC18051504/LOC18050389/LOC18051867/LOC18050464/LOC18045924/LOC18047109/LOC18045848/LOC18045476/LOC18043571/LOC18044642/LOC18044491/LOC18044044/LOC18045193/LOC18040657/LOC18038722/LOC18039477/LOC18036670/LOC18035395/LOC18035011/LOC18034135/LOC18033836/LOC18034906/LOC18035254/LOC18032845/LOC18031917",30
"GO:0006928","BP","GO:0006928","movement of cell or subcellular component","24/2492","31/5590",0.0001968506304489,0.00844745966317672,0.00776591503189712,"LOC18055901/LOC18054591/LOC18055273/LOC18054646/LOC18050431/LOC18051772/LOC18046653/LOC18048307/LOC18048223/LOC18046861/LOC18049057/LOC18042890/LOC18041025/LOC18041046/LOC18039529/LOC18039021/LOC18039615/LOC18036275/LOC18035954/LOC18037153/LOC18037824/LOC18034863/LOC18034779/LOC18034481",24
"GO:0007018","BP","GO:0007018","microtubule-based movement","24/2492","31/5590",0.0001968506304489,0.00844745966317672,0.00776591503189712,"LOC18055901/LOC18054591/LOC18055273/LOC18054646/LOC18050431/LOC18051772/LOC18046653/LOC18048307/LOC18048223/LOC18046861/LOC18049057/LOC18042890/LOC18041025/LOC18041046/LOC18039529/LOC18039021/LOC18039615/LOC18036275/LOC18035954/LOC18037153/LOC18037824/LOC18034863/LOC18034779/LOC18034481",24
"GO:0009765","BP","GO:0009765","photosynthesis, light harvesting","15/2492","17/5590",0.000247319398049918,0.0101710102448029,0.00935040882101007,"LOC18055397/LOC18054549/LOC18052032/LOC18051870/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18035158",15
"GO:0071365","BP","GO:0071365","cellular response to auxin stimulus","38/2492","56/5590",0.000350457243079982,0.0138360519567977,0.0127197534119977,"LOC18055059/LOC18055782/LOC18056065/LOC18055320/LOC18055510/LOC18050781/LOC18051419/LOC18052602/LOC18052304/LOC18046549/LOC18046344/LOC18046345/LOC18047540/LOC18045713/LOC18043475/LOC18045266/LOC18044262/LOC18044718/LOC18045400/LOC18041690/LOC18040807/LOC18040808/LOC18041291/LOC18042020/LOC18041942/LOC18039286/LOC18038853/LOC18038948/LOC18036626/LOC18036154/LOC18035868/LOC18036454/LOC18036413/LOC18035603/LOC18032443/LOC18032009/LOC18031625/LOC18033124",38
"GO:0009734","BP","GO:0009734","auxin-activated signaling pathway","37/2492","55/5590",0.000543543121963774,0.0206337331299325,0.0189689947827034,"LOC18055059/LOC18055782/LOC18056065/LOC18055320/LOC18055510/LOC18050781/LOC18052602/LOC18052304/LOC18046549/LOC18046344/LOC18046345/LOC18047540/LOC18045713/LOC18043475/LOC18045266/LOC18044262/LOC18044718/LOC18045400/LOC18041690/LOC18040807/LOC18040808/LOC18041291/LOC18042020/LOC18041942/LOC18039286/LOC18038853/LOC18038948/LOC18036626/LOC18036154/LOC18035868/LOC18036454/LOC18036413/LOC18035603/LOC18032443/LOC18032009/LOC18031625/LOC18033124",37
"GO:0006099","BP","GO:0006099","tricarboxylic acid cycle","22/2492","29/5590",0.000605879907072779,0.0213572667243155,0.0196341533795765,"LOC18054604/LOC18053611/LOC18050389/LOC18052589/LOC18053354/LOC18045776/LOC18047619/LOC18048455/LOC18050024/LOC18048029/LOC18046858/LOC18044474/LOC18045656/LOC18045098/LOC18040745/LOC18038390/LOC18037111/LOC18037781/LOC18035427/LOC18034657/LOC18032972/LOC18046713",22
"GO:0009060","BP","GO:0009060","aerobic respiration","22/2492","29/5590",0.000605879907072779,0.0213572667243155,0.0196341533795765,"LOC18054604/LOC18053611/LOC18050389/LOC18052589/LOC18053354/LOC18045776/LOC18047619/LOC18048455/LOC18050024/LOC18048029/LOC18046858/LOC18044474/LOC18045656/LOC18045098/LOC18040745/LOC18038390/LOC18037111/LOC18037781/LOC18035427/LOC18034657/LOC18032972/LOC18046713",22
"GO:0009250","BP","GO:0009250","glucan biosynthetic process","35/2492","53/5590",0.00127600321142277,0.0434281092991128,0.0399243110071298,"LOC18054789/LOC18055214/LOC18055185/LOC18053866/LOC18053008/LOC18053215/LOC18047949/LOC18046063/LOC18047773/LOC18047138/LOC18046804/LOC18046805/LOC18048553/LOC18049131/LOC18050333/LOC18046960/LOC18048822/LOC18044682/LOC18043891/LOC18043261/LOC18041528/LOC18042073/LOC18042773/LOC18042441/LOC18041588/LOC18038088/LOC18037291/LOC18036190/LOC18036087/LOC18037183/LOC18035119/LOC18031960/LOC18031827/LOC18032223/LOC18033371",35
"GO:0034357","CC","GO:0034357","photosynthetic membrane","89/3437","104/7428",5.16383034833875e-17,1.00694691792606e-14,9.13182630022011e-15,"LOC18055287/LOC18055063/LOC18053775/LOC18054549/LOC18054593/LOC18055495/LOC18055378/LOC18055915/LOC18055919/LOC18055316/LOC18053776/LOC18052506/LOC18051968/LOC18050848/LOC18052032/LOC18052290/LOC18052292/LOC18052694/LOC18053489/LOC18051323/LOC18051897/LOC18052598/LOC18051773/LOC18053436/LOC18053261/LOC18053263/LOC18046386/LOC18047156/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18046011/LOC18046531/LOC18049269/LOC18046547/LOC18045866/LOC18046879/LOC18047504/LOC18046891/LOC18043413/LOC18044075/LOC18045518/LOC18045520/LOC18044863/LOC18044399/LOC18043581/LOC18043590/LOC18044560/LOC18045586/LOC18045619/LOC18041475/LOC18040405/LOC18042579/LOC18041631/LOC18040942/LOC18042081/LOC18040285/LOC18041099/LOC18040979/LOC18043137/LOC18041924/LOC18042830/LOC18041192/LOC18041202/LOC18043060/LOC18042622/LOC18038302/LOC18038877/LOC18039516/LOC18039809/LOC18036420/LOC18037773/LOC18037749/LOC18036190/LOC18036749/LOC18035698/LOC18034139/LOC18035627/LOC18035158/LOC18034566/LOC18035077/LOC18034764/LOC18034550/LOC18035570/LOC18034214/LOC18031419/LOC18033088/LOC18033554",89
